<DATE_TIME>,event_id,forecast_value,actual_value,impact_type
2024-01-31 10:00:00,276010003,200000,-1100000,1
2024-01-31 10:00:00,276010004,-10100000,-8500000,2
2024-01-31 10:00:00,276010005,-100000,-200000,2
2024-01-31 10:00:00,276010006,300000,-2400000,2
2024-01-31 10:00:00,276010016,-500000,-1600000,2
2024-01-31 10:00:00,276010017,-1300000,-1700000,2
2024-01-31 10:45:00,250010001,-100000,-200000,2
2024-01-31 10:45:00,250010002,3600000,3100000,2
2024-01-31 10:45:00,250010003,100000,-200000,2
2024-01-31 10:45:00,250010004,4400000,3400000,2
2024-01-31 10:45:00,250010010,-700000,100000,1
2024-01-31 11:55:00,276060001,16000000,-2000000,1
2024-01-31 11:55:00,276060002,6000000,5800000,1
2024-01-31 11:55:00,276060003,2705000,2805000,2
2024-01-31 11:55:00,276060004,2729000,2694000,1
2024-01-31 12:00:00,724040001,3449000,2770000,2
2024-01-31 12:00:00,380010022,7600000,7200000,1
2024-01-31 14:00:00,380010012,0,-1000000,2
2024-01-31 14:00:00,380010013,-5400000,-3400000,1
2024-01-31 16:00:00,276010020,300000,200000,2
2024-01-31 16:00:00,276010021,3300000,2900000,2
2024-01-31 16:00:00,276010022,500000,-200000,2
2024-01-31 16:00:00,276010023,3900000,3100000,2
2024-02-01 11:15:00,724500001,46700000,49200000,1
2024-02-01 11:45:00,380500001,46100000,48500000,1
2024-02-01 11:50:00,250500001,43200000,43100000,2
2024-02-01 11:55:00,276500001,45400000,45500000,1
2024-02-01 13:00:00,999030010,200000,-900000,2
2024-02-01 13:00:00,999030011,0,-400000,2
2024-02-01 13:00:00,999030012,3200000,3300000,1
2024-02-01 13:00:00,999030024,-100000,-600000,2
2024-02-01 13:00:00,380010001,100000,300000,1
2024-02-01 13:00:00,380010002,-300000,800000,1
2024-02-01 13:00:00,380010003,-500000,-1100000,2
2024-02-01 13:00:00,380010004,-1400000,900000,1
2024-02-02 10:45:00,250010009,800000,1100000,1
2024-02-05 10:00:00,276010001,-2100000,-4600000,2
2024-02-05 10:00:00,276010002,-2100000,-6700000,1
2024-02-05 10:00:00,276010007,15100000,22200000,1
2024-02-05 10:00:00,276010025,18000000,16700000,2
2024-02-05 11:15:00,724500002,50500000,52100000,1
2024-02-05 11:45:00,380500002,49900000,51200000,1
2024-02-05 11:50:00,250500002,45000000,45400000,1
2024-02-05 11:50:00,250500003,44200000,44600000,1
2024-02-05 11:55:00,276500002,47600000,47700000,1
2024-02-05 11:55:00,276500003,47100000,47700000,1
2024-02-05 12:30:00,999060001,-17000000,-129000000,2
2024-02-05 13:00:00,999030005,200000,-800000,2
2024-02-05 13:00:00,999030006,-7900000,-10600000,2
2024-02-06 10:00:00,276010018,600000,8900000,1
2024-02-06 10:00:00,276010019,-300000,2700000,1
2024-02-06 12:00:00,380010018,94600000,88300000,2
2024-02-06 12:00:00,380010019,108000000,96400000,2
2024-02-06 13:00:00,999030003,300000,-1100000,2
2024-02-06 13:00:00,999030004,-1200000,-800000,1
2024-02-07 10:00:00,276010010,-300000,-1600000,2
2024-02-07 10:00:00,276010011,-4300000,-3100000,1
2024-02-07 10:45:00,250050003,-6778000,-6829000,2
2024-02-07 10:45:00,250010012,300000,0,2
2024-02-07 12:00:00,380010014,200000,-100000,2
2024-02-07 12:00:00,380010015,1600000,300000,2
2024-02-09 12:00:00,380010005,-500000,1100000,1
2024-02-09 12:00:00,380010006,-2700000,-2100000,1
2024-02-13 09:30:00,250010014,7000000,7500000,2
2024-02-13 16:30:00,276010024,25600000,31400000,1
2024-02-14 13:00:00,999030007,400000,2600000,1
2024-02-14 13:00:00,999030008,-6200000,1200000,1
2024-02-15 11:00:00,724010001,0,100000,1
2024-02-15 11:00:00,724010002,3100000,3400000,1
2024-02-15 11:00:00,724010003,0,-200000,2
2024-02-15 11:00:00,724010004,3300000,3500000,1
2024-02-15 12:00:00,380010007,-469000,5614000,1
2024-02-15 13:00:00,999030018,13900000,13000000,2
2024-02-15 13:00:00,999030019,10800000,16800000,1
2024-02-16 10:00:00,276010012,-200000,100000,1
2024-02-16 10:00:00,276010013,-2400000,-2700000,2
2024-02-19 12:00:00,724070001,-3428000,-3402000,1
2024-02-20 12:00:00,999010016,25800000,31900000,1
2024-02-20 13:00:00,999030014,500000,800000,1
2024-02-20 13:00:00,999030015,-900000,1900000,1
2024-02-21 18:00:00,999040006,-17200000,-15500000,1
2024-02-22 10:45:00,250010013,98000000,100000000,1
2024-02-22 11:15:00,250500001,43200000,46800000,1
2024-02-22 11:15:00,250500002,44900000,48000000,1
2024-02-22 11:15:00,250500003,44100000,47700000,1
2024-02-22 11:30:00,276500001,46700000,42300000,2
2024-02-22 11:30:00,276500002,49100000,48200000,2
2024-02-22 11:30:00,276500003,48200000,46100000,2
2024-02-22 12:00:00,380010025,100000,300000,1
2024-02-22 12:00:00,380010026,2100000,800000,2
2024-02-22 12:00:00,999500001,45100000,46100000,1
2024-02-22 12:00:00,999500002,48400000,50000000,1
2024-02-22 12:00:00,999500003,48600000,48900000,1
2024-02-22 13:00:00,999030021,500000,-400000,2
2024-02-22 13:00:00,999030022,2000000,2700000,1
2024-02-23 12:30:00,276030001,82400000,84100000,1
2024-02-23 12:30:00,276030002,85500000,86900000,1
2024-02-23 12:30:00,276030003,85300000,85500000,1
2024-02-26 11:00:00,724010008,-6100000,-3800000,1
2024-02-27 10:00:00,276040001,-65100000,-29000000,1
2024-02-27 10:45:00,250010007,93000000,89000000,2
2024-02-27 12:00:00,999010018,300000,100000,2
2024-02-27 12:00:00,999010019,100000,300000,1
2024-02-27 12:00:00,999010026,1100000,200000,2
2024-02-27 12:00:00,999010027,1100000,400000,2
2024-02-28 12:00:00,380010018,87800000,87300000,2
2024-02-28 12:00:00,380010019,93100000,97000000,1
2024-02-28 13:00:00,999040003,-9300000,-9500000,2
2024-02-28 13:00:00,999040004,5700000,6000000,1
2024-02-28 13:00:00,999040005,97100000,95400000,2
2024-02-28 13:00:00,999040007,14700000,15500000,1
2024-02-28 13:00:00,999040008,7600000,3800000,2
2024-02-28 15:14:00,724080001,-2600000,-4500000,2
2024-02-29 10:00:00,276010016,600000,-400000,2
2024-02-29 10:00:00,276010017,-2000000,-1400000,1
2024-02-29 10:45:00,250010001,-300000,800000,1
2024-02-29 10:45:00,250010002,2600000,2900000,1
2024-02-29 10:45:00,250010003,0,900000,1
2024-02-29 10:45:00,250010004,2700000,3100000,1
2024-02-29 10:45:00,250010005,0,100000,1
2024-02-29 10:45:00,250010008,200000,-300000,2
2024-02-29 10:45:00,250010010,2100000,-1300000,2
2024-02-29 11:00:00,724010001,-100000,300000,1
2024-02-29 11:00:00,724010002,3200000,2800000,2
2024-02-29 11:00:00,724010003,-900000,400000,1
2024-02-29 11:00:00,724010004,3400000,2900000,2
2024-02-29 11:55:00,276060001,1000000,11000000,2
2024-02-29 11:55:00,276060002,5800000,5900000,2
2024-02-29 11:55:00,276060003,2783000,2814000,2
2024-02-29 11:55:00,276060004,2698000,2713000,2
2024-02-29 12:00:00,380010012,0,2100000,1
2024-02-29 12:00:00,380010013,-6200000,-100000,1
2024-02-29 12:00:00,724040001,3366000,1070000,2
2024-02-29 16:00:00,276010020,100000,400000,1
2024-02-29 16:00:00,276010021,2600000,2500000,2
2024-02-29 16:00:00,276010022,-200000,600000,1
2024-02-29 16:00:00,276010023,2600000,2700000,1
2024-03-01 11:15:00,724500001,49500000,51500000,1
2024-03-01 11:45:00,380500001,51000000,48700000,2
2024-03-01 11:50:00,250500001,46800000,47100000,1
2024-03-01 11:55:00,276500001,42300000,42500000,1
2024-03-01 12:00:00,380010022,7300000,7200000,1
2024-03-01 12:00:00,999500001,46100000,46500000,1
