<DATE_TIME>,event_id,forecast_value,actual_value,impact_type
2024-05-06 12:00:00,999030006,-5600000,-7800000,2
2024-05-07 09:00:00,276010001,-5300000,900000,1
2024-05-07 09:00:00,276010002,-1700000,300000,2
2024-05-07 09:00:00,276010007,23300000,22200000,2
2024-05-07 09:00:00,276010018,100000,-400000,2
2024-05-07 09:00:00,276010019,-3900000,-1900000,1
2024-05-07 09:00:00,276010025,30400000,23900000,2
2024-05-07 09:45:00,250050003,-5284000,-5473000,2
2024-05-07 09:45:00,250010012,0,200000,1
2024-05-07 12:00:00,999030003,0,800000,1
2024-05-07 12:00:00,999030004,400000,700000,1
2024-05-08 09:00:00,276010010,0,-400000,2
2024-05-08 09:00:00,276010011,-4600000,-3300000,1
2024-05-08 10:00:00,724010007,-1100000,-1200000,2
2024-05-08 11:00:00,380010014,100000,0,2
2024-05-10 11:00:00,380010005,600000,-500000,2
2024-05-10 11:00:00,380010006,300000,-3500000,2
2024-05-13 13:30:00,724030001,82100000,84500000,1
2024-05-13 15:30:00,276010024,31000000,27600000,2
2024-05-14 12:05:00,276070001,46900000,47100000,1
2024-05-14 12:05:00,276070002,-81400000,-72300000,1
2024-05-14 12:05:00,999050001,-800000,47000000,1
2024-05-15 12:00:00,999030001,200000,300000,1
2024-05-15 12:00:00,999030002,1100000,1000000,2
2024-05-15 12:00:00,999030007,200000,600000,1
2024-05-15 12:00:00,999030008,-1800000,-1000000,1
2024-05-16 11:00:00,380010001,200000,100000,2
2024-05-16 11:00:00,380010002,900000,800000,2
2024-05-16 11:00:00,380010003,600000,500000,2
2024-05-16 11:00:00,380010004,1000000,900000,2
2024-05-16 11:00:00,380010025,100000,-100000,2
2024-05-16 11:00:00,380010026,1200000,800000,2
2024-05-16 12:00:00,380010007,5805000,4341000,2
2024-05-17 08:30:00,250010014,7300000,7500000,2
2024-05-17 12:00:00,999030021,1100000,600000,2
2024-05-17 12:00:00,999030022,2700000,2300000,2
2024-05-20 11:00:00,724070001,-3473000,-2026000,1
2024-05-21 09:00:00,276010014,-200000,200000,1
2024-05-21 09:00:00,276010015,-2400000,-3300000,2
2024-05-21 11:00:00,999010016,33600000,35800000,1
2024-05-21 12:00:00,999030014,400000,100000,2
2024-05-21 12:00:00,999030015,-600000,100000,1
2024-05-21 12:00:00,999030018,16500000,17300000,1
2024-05-21 12:00:00,999030019,22900000,24100000,1
2024-05-23 10:15:00,250500001,44800000,46700000,1
2024-05-23 10:15:00,250500002,50900000,49400000,2
2024-05-23 10:15:00,250500003,49000000,49100000,1
2024-05-23 10:30:00,276500001,40700000,45400000,1
2024-05-23 10:30:00,276500002,50700000,53900000,1
2024-05-23 10:30:00,276500003,51800000,52200000,1
2024-05-23 11:00:00,999500001,45600000,47400000,1
2024-05-23 11:00:00,999500003,51700000,52300000,1
2024-05-23 17:00:00,999040006,-14100000,-14300000,2
2024-05-24 10:00:00,724010008,-11200000,-6600000,1
2024-05-27 11:30:00,276030001,92000000,90400000,2
2024-05-27 11:30:00,276030002,88800000,88300000,2
2024-05-27 11:30:00,276030003,89900000,89300000,2
2024-05-28 09:00:00,276010012,-200000,400000,1
2024-05-28 09:00:00,276010013,-3600000,-1800000,1
2024-05-29 09:00:00,276040001,-24200000,-20900000,1
2024-05-29 09:45:00,250010007,91000000,90000000,2
2024-05-29 10:00:00,724010009,-500000,300000,1
2024-05-29 11:00:00,999010018,2000000,1300000,2
2024-05-29 11:00:00,999010019,300000,200000,2
2024-05-29 11:00:00,999010026,200000,300000,1
2024-05-29 11:00:00,999010027,1300000,900000,2
2024-05-29 11:00:00,380010018,85100000,88400000,1
2024-05-29 11:00:00,380010019,90200000,96400000,1
2024-05-29 15:00:00,276010020,300000,100000,2
2024-05-29 15:00:00,276010021,2100000,2400000,1
2024-05-29 15:00:00,276010022,100000,200000,1
2024-05-29 15:00:00,276010023,1700000,2800000,1
2024-05-30 10:00:00,724010001,600000,300000,2
2024-05-30 10:00:00,724010002,3100000,3600000,1
2024-05-30 10:00:00,724010003,-300000,200000,1
2024-05-30 10:00:00,724010004,3500000,3800000,1
2024-05-30 11:00:00,380010022,7100000,6900000,1
2024-05-30 12:00:00,999040003,-10600000,-9900000,1
2024-05-30 12:00:00,999040004,3700000,6500000,1
2024-05-30 12:00:00,999040005,94900000,96000000,1
2024-05-30 12:00:00,999040007,10300000,12500000,1
2024-05-30 12:00:00,999040008,6100000,6400000,1
2024-05-30 12:00:00,380010016,-1000000,-900000,1
2024-05-30 12:00:00,380010017,-9200000,-5900000,1
2024-05-30 12:00:00,999030020,6500000,6400000,1
2024-05-30 14:04:00,724080001,-2700000,-6300000,2
2024-05-31 08:30:00,250010012,200000,300000,1
2024-05-31 09:00:00,276010004,-7300000,-10800000,1
2024-05-31 09:00:00,276010005,-200000,-300000,2
2024-05-31 09:00:00,276010006,600000,-2000000,2
2024-05-31 09:00:00,276010016,500000,-1200000,2
2024-05-31 09:00:00,276010017,1600000,-600000,2
2024-05-31 09:45:00,250010002,1800000,2200000,1
2024-05-31 09:45:00,250010003,100000,200000,1
2024-05-31 09:45:00,250010004,1900000,2700000,1
2024-05-31 09:45:00,250010008,100000,-800000,2
2024-05-31 09:45:00,250010010,-7400000,-3600000,1
2024-05-31 11:00:00,380010021,600000,700000,1
2024-05-31 11:00:00,724040001,2647000,3290000,1
2024-05-31 12:00:00,380010001,100000,200000,1
2024-05-31 12:00:00,380010002,900000,800000,2
2024-05-31 12:00:00,380010003,900000,200000,2
2024-05-31 12:00:00,380010004,200000,800000,1
2024-05-31 12:00:00,999030010,300000,400000,1
2024-05-31 12:00:00,999030011,100000,200000,1
2024-05-31 12:00:00,999030012,2600000,2900000,1
2024-05-31 12:00:00,999030013,2500000,2600000,1
2024-05-31 12:00:00,999030024,500000,400000,2
2024-05-31 12:00:00,999030025,2600000,2900000,1
2024-06-03 10:15:00,724500001,51200000,54000000,1
2024-06-03 10:45:00,380500001,46100000,45600000,2
2024-06-03 10:50:00,250500001,46700000,46400000,2
2024-06-03 11:00:00,999500001,47400000,47300000,2
2024-06-04 10:00:00,724050001,-17546000,-58650000,1
2024-06-04 10:55:00,276060001,7000000,25000000,2
2024-06-04 10:55:00,276060002,6000000,5900000,1
2024-06-04 10:55:00,276060003,2749000,2723000,1
2024-06-04 10:55:00,276060004,2740000,2762000,2
2024-06-05 09:45:00,250010009,400000,500000,1
2024-06-05 10:15:00,724500002,56400000,56900000,1
2024-06-05 10:45:00,380500002,52800000,54200000,1
2024-06-05 10:50:00,250500002,49400000,48900000,2
2024-06-05 10:50:00,250500003,49100000,48900000,2
2024-06-05 10:55:00,276500002,53900000,54200000,1
2024-06-05 10:55:00,276500003,52200000,52400000,1
2024-06-05 11:00:00,999500002,53300000,53200000,2
2024-06-05 11:00:00,999500003,52300000,52200000,2
2024-06-05 12:00:00,999030005,-200000,-1000000,2
2024-06-05 12:00:00,999030006,-6200000,-5700000,1
2024-06-06 09:00:00,276010018,5600000,-200000,2
2024-06-06 09:00:00,276010019,-3300000,-1600000,1
2024-06-06 10:00:00,724010007,700000,800000,1
2024-06-06 11:00:00,380010014,0,-100000,2
2024-06-06 11:00:00,380010015,2200000,-1900000,2
2024-06-06 12:00:00,999030003,100000,-500000,2
2024-06-06 12:00:00,999030004,1200000,0,2
2024-06-07 09:00:00,276010010,200000,-100000,2
2024-06-07 09:00:00,276010011,-2700000,-3900000,2
2024-06-07 09:00:00,276010001,2700000,1600000,2
2024-06-07 09:00:00,276010002,2500000,2000000,1
2024-06-07 09:00:00,276010007,22300000,22000000,2
2024-06-07 09:00:00,276010025,17800000,23500000,1
2024-06-07 09:45:00,250050003,-3856000,-7579000,2
2024-06-10 11:00:00,380010005,-100000,-1000000,2
2024-06-10 11:00:00,380010006,-2000000,-2900000,2
2024-06-10 11:30:00,999060001,58800000,3000000,2
2024-06-12 15:30:00,276010024,29100000,25900000,2
2024-06-13 09:00:00,276010012,-100000,100000,1
2024-06-13 09:00:00,276010013,-400000,-700000,2
2024-06-13 11:00:00,380010023,7500000,7200000,1
2024-06-13 12:00:00,999030007,-200000,-100000,1
2024-06-13 12:00:00,999030008,-1400000,-3000000,2
2024-06-14 09:45:00,250010002,2200000,2300000,1
2024-06-14 09:45:00,250010003,200000,100000,2
2024-06-14 09:45:00,250010004,2700000,2600000,2
2024-06-14 11:00:00,380010007,4415000,4807000,1
2024-06-14 12:00:00,999030018,22500000,19400000,2
2024-06-14 12:00:00,999030019,19100000,15000000,2
2024-06-17 11:00:00,380010025,100000,200000,1
2024-06-17 11:00:00,380010026,1000000,800000,2
2024-06-17 11:00:00,724070001,-3354000,-4656000,2
2024-06-17 12:00:00,999030009,4400000,5100000,1
2024-06-17 12:00:00,999030023,4300000,5300000,1
2024-06-18 12:00:00,999030021,300000,200000,2
2024-06-18 12:00:00,999030022,3400000,2500000,2
2024-06-18 12:05:00,276070001,49200000,47500000,2
2024-06-18 12:05:00,276070002,-70100000,-73800000,2
2024-06-18 12:05:00,999050001,49200000,51300000,1
2024-06-19 11:00:00,999010016,35800000,38600000,1
2024-06-19 12:00:00,999030014,300000,-200000,2
2024-06-19 12:00:00,999030015,-400000,-1100000,2
2024-06-20 09:00:00,276010014,-100000,0,1
2024-06-20 09:00:00,276010015,-3400000,-2200000,1
2024-06-20 17:00:00,999040006,-13700000,-14000000,2
2024-06-21 09:45:00,250010013,100000000,99000000,2
2024-06-21 10:15:00,250500001,44500000,45300000,1
2024-06-21 10:15:00,250500002,49100000,48800000,2
2024-06-21 10:15:00,250500003,49000000,48200000,2
2024-06-21 10:30:00,276500001,46600000,43400000,2
2024-06-21 10:30:00,276500002,52300000,53500000,1
2024-06-21 10:30:00,276500003,51700000,50600000,2
2024-06-21 11:00:00,999500001,47800000,45600000,2
2024-06-21 11:00:00,999500002,52400000,52600000,1
2024-06-21 11:00:00,999500003,51700000,50800000,2
2024-06-24 11:30:00,276030001,91400000,89000000,2
2024-06-24 11:30:00,276030002,86600000,88300000,1
2024-06-24 11:30:00,276030003,89500000,88600000,2
2024-06-25 10:00:00,724010005,700000,800000,1
2024-06-25 10:00:00,724010006,2400000,2500000,1
2024-06-25 10:00:00,724010008,-8000000,-4600000,1
2024-06-26 09:00:00,276040001,-21700000,-21800000,2
2024-06-27 10:00:00,724010009,400000,200000,2
2024-06-27 11:00:00,999010018,1800000,1600000,2
2024-06-27 11:00:00,999010019,200000,300000,1
2024-06-27 11:00:00,999010027,1400000,800000,2
2024-06-27 11:00:00,380010018,89400000,86800000,2
2024-06-27 11:00:00,380010019,102500000,98300000,2
2024-06-27 12:00:00,999040003,-10500000,-10100000,1
2024-06-27 12:00:00,999040004,5200000,6500000,1
2024-06-27 12:00:00,999040005,96600000,95900000,2
2024-06-27 12:00:00,999040007,16100000,13100000,2
2024-06-27 12:00:00,999040008,6500000,6100000,2
2024-06-27 12:00:00,380010016,-700000,100000,1
2024-06-27 12:00:00,380010017,-4800000,-1500000,1
2024-06-27 13:55:00,724080001,-7300000,-5700000,1
2024-06-28 09:00:00,276010003,-700000,400000,2
2024-06-28 09:00:00,276010004,-7900000,-12900000,1
2024-06-28 09:00:00,276010005,-200000,0,1
2024-06-28 09:00:00,276010006,0,-3600000,2
2024-06-28 09:45:00,250010001,500000,0,2
2024-06-28 09:45:00,250010002,2000000,2100000,1
2024-06-28 09:45:00,250010003,400000,100000,2
2024-06-28 09:45:00,250010004,2200000,2500000,1
2024-06-28 09:45:00,250010008,-300000,1500000,1
2024-06-28 09:45:00,250010010,-1500000,-1400000,1
2024-06-28 10:00:00,724010001,-100000,300000,1
2024-06-28 10:00:00,724010002,4000000,3400000,2
2024-06-28 10:00:00,724010003,-200000,300000,1
2024-06-28 10:00:00,724010004,3600000,3500000,2
2024-06-28 10:55:00,276060001,10000000,19000000,2
2024-06-28 10:55:00,276060002,5900000,6000000,2
2024-06-28 10:55:00,276060003,2743000,2727000,1
2024-06-28 10:55:00,276060004,2774000,2781000,2
2024-06-28 11:00:00,724040001,2535000,2830000,1
2024-06-28 12:00:00,380010004,800000,900000,1
2024-07-01 10:15:00,724500001,53400000,52300000,2
2024-07-01 10:45:00,380500001,44500000,45700000,1
2024-07-01 10:50:00,250500001,45300000,45400000,1
2024-07-01 10:55:00,276500001,43400000,43500000,1
2024-07-01 11:00:00,999500001,45600000,45800000,1
2024-07-01 15:00:00,276010021,2100000,2200000,1
2024-07-01 15:00:00,276010022,0,200000,1
2024-07-02 10:00:00,724050001,-37853000,-46783000,1
2024-07-02 11:00:00,380010022,7100000,6800000,1
2024-07-02 12:00:00,999030010,900000,300000,2
2024-07-02 12:00:00,999030011,600000,200000,2
2024-07-02 12:00:00,999030012,2800000,2900000,1
2024-07-02 12:00:00,999030013,2600000,2500000,2
2024-07-02 12:00:00,999030020,6300000,6400000,2
2024-07-02 12:00:00,999030024,300000,400000,1
2024-07-02 12:00:00,380010024,10100000,8800000,2
2024-07-03 10:15:00,724500002,55600000,56800000,1
2024-07-03 10:45:00,380500002,52600000,53700000,1
2024-07-03 10:50:00,250500003,48200000,48800000,1
2024-07-03 10:55:00,276500002,53500000,53100000,2
2024-07-03 10:55:00,276500003,50600000,50400000,2
2024-07-03 11:00:00,999500002,52600000,52800000,1
2024-07-03 11:00:00,999500003,50800000,50900000,1
2024-07-03 12:00:00,999030005,-600000,-200000,1
2024-07-03 12:00:00,999030006,-5600000,-4200000,1
2024-07-04 09:00:00,276010018,-600000,-1600000,2
2024-07-04 09:00:00,276010019,-3100000,-8600000,2
2024-07-05 09:00:00,276010010,500000,-2500000,2
2024-07-05 09:00:00,276010011,-2600000,-6700000,2
2024-07-05 09:45:00,250050003,-8962000,-7987000,1
2024-07-05 09:45:00,250010009,-100000,-2100000,2
2024-07-05 10:00:00,724010007,100000,400000,1
2024-07-05 11:00:00,380010014,0,400000,1
2024-07-05 11:00:00,380010015,-2300000,400000,1
2024-07-05 12:00:00,999030003,-1900000,100000,1
2024-07-05 12:00:00,999030004,500000,300000,2
2024-07-05 13:30:00,724030001,81600000,83800000,1
2024-07-08 09:00:00,276010001,-4200000,-3600000,1
2024-07-08 09:00:00,276010002,900000,-6600000,1
2024-07-08 09:00:00,276010007,20200000,24900000,1
2024-07-08 09:00:00,276010025,19400000,22000000,1
2024-07-08 11:30:00,999060001,-20300000,-73000000,2
2024-07-10 11:00:00,380010005,-200000,500000,1
2024-07-12 09:00:00,276010012,0,-300000,2
2024-07-12 09:00:00,276010013,100000,-600000,2
2024-07-12 09:45:00,250010001,0,100000,1
2024-07-12 09:45:00,250010002,2100000,2200000,1
2024-07-12 09:45:00,250010003,100000,200000,1
2024-07-12 10:00:00,724010001,300000,400000,1
2024-07-12 10:00:00,724010003,300000,400000,1
2024-07-12 10:00:00,724010004,3500000,3600000,1
2024-07-12 15:30:00,276010024,29900000,18500000,2
2024-07-15 12:00:00,999030007,-100000,-600000,2
2024-07-15 12:00:00,999030008,-1600000,-2900000,2
2024-07-16 09:45:00,250030001,-2000000,-3100000,2
2024-07-16 11:00:00,380010025,100000,0,2
2024-07-16 11:00:00,380010026,2000000,800000,2
2024-07-16 12:00:00,380010007,4831000,6430000,1
2024-07-16 12:00:00,999030018,18900000,12300000,2
2024-07-16 12:00:00,999030019,20500000,13900000,2
2024-07-16 12:05:00,276070001,43800000,41800000,2
2024-07-16 12:05:00,276070002,-65600000,-68900000,2
2024-07-16 12:05:00,999050001,49500000,43700000,2
2024-07-17 12:00:00,999030010,300000,400000,1
2024-07-17 12:00:00,999030021,400000,200000,2
2024-07-17 12:00:00,999030022,3200000,2400000,2
2024-07-18 12:00:00,999030014,100000,-900000,2
2024-07-18 12:00:00,999030015,-300000,-2400000,2
2024-07-19 09:00:00,276010014,0,200000,1
2024-07-19 09:00:00,276010015,-1900000,-1600000,1
2024-07-19 11:00:00,999010016,36500000,36700000,1
2024-07-19 11:00:00,724070001,-3198000,-2349000,1
2024-07-23 14:00:00,724030001,94200000,88400000,2
2024-07-24 09:00:00,276040001,-19900000,-18400000,1
2024-07-24 10:00:00,724010008,-6900000,-3500000,1
2024-07-24 10:15:00,250500002,47300000,50700000,1
2024-07-24 10:15:00,250500003,47000000,49500000,1
2024-07-24 10:30:00,276500001,42800000,42600000,2
2024-07-24 10:30:00,276500002,52200000,52000000,2
2024-07-24 10:30:00,276500003,49200000,48700000,2
2024-07-24 11:00:00,999500001,45300000,45600000,1
2024-07-24 11:00:00,999500002,52300000,51900000,2
2024-07-24 11:00:00,999500003,49800000,50100000,1
2024-07-25 01:00:00,250040001,2819300000,2834500000,2
2024-07-25 09:45:00,250010013,99000000,95000000,2
2024-07-25 11:00:00,999010018,2400000,2200000,2
2024-07-25 11:00:00,999010027,900000,1100000,1
2024-07-25 11:30:00,276030001,88300000,86900000,2
2024-07-25 11:30:00,276030002,88500000,87100000,2
2024-07-26 09:45:00,250010007,88000000,91000000,1
2024-07-26 10:00:00,724010009,-100000,300000,1
2024-07-26 10:00:00,724010010,12810000,11270000,1
2024-07-26 11:00:00,380010018,86500000,87600000,1
2024-07-26 11:00:00,380010019,95800000,98900000,1
2024-07-30 08:30:00,250010005,200000,300000,1
2024-07-30 08:30:00,250010006,1000000,1100000,1
2024-07-30 08:30:00,250010008,800000,-500000,2
2024-07-30 10:00:00,724010001,200000,-500000,2
2024-07-30 10:00:00,724010002,3000000,2800000,2
2024-07-30 10:00:00,724010003,300000,-700000,2
2024-07-30 10:00:00,724010004,3500000,2900000,2
2024-07-30 10:00:00,724010005,300000,800000,1
2024-07-30 10:00:00,724010006,1900000,2900000,1
2024-07-30 11:00:00,380010021,400000,900000,1
2024-07-30 11:00:00,276010008,100000,-100000,2
2024-07-30 11:00:00,276010009,-400000,300000,1
2024-07-30 12:00:00,999040003,-9700000,-10500000,2
2024-07-30 12:00:00,999040004,8300000,4800000,2
2024-07-30 12:00:00,999040005,95300000,95800000,1
2024-07-30 12:00:00,999040007,14400000,11200000,2
2024-07-30 12:00:00,999040008,6300000,6800000,1
2024-07-30 12:00:00,999030016,200000,300000,1
2024-07-30 12:00:00,999030017,400000,600000,1
2024-07-30 14:02:00,724080001,-4100000,-4200000,2
2024-07-30 15:00:00,276010020,0,300000,1
2024-07-30 15:00:00,276010021,2200000,2300000,1
2024-07-30 15:00:00,276010022,-100000,500000,1
2024-07-30 15:00:00,276010023,2500000,2600000,1
2024-07-31 09:00:00,276010003,-400000,1200000,2
2024-07-31 09:00:00,276010004,-9200000,-11000000,1
2024-07-31 09:00:00,276010005,-200000,300000,1
2024-07-31 09:00:00,276010006,-700000,-2600000,2
2024-07-31 09:45:00,250010001,0,100000,1
2024-07-31 09:45:00,250010002,1700000,2300000,1
2024-07-31 09:45:00,250010003,0,100000,1
2024-07-31 09:45:00,250010004,2300000,2600000,1
2024-07-31 10:55:00,276060001,12000000,18000000,2
2024-07-31 10:55:00,276060003,2761000,2809000,2
2024-07-31 10:55:00,276060004,2789000,2802000,2
2024-07-31 11:00:00,724040001,2780000,5560000,1
2024-07-31 12:00:00,380010001,100000,500000,1
2024-07-31 12:00:00,380010002,800000,1300000,1
2024-07-31 12:00:00,380010003,-600000,-800000,2
2024-07-31 12:00:00,380010004,900000,1700000,1
2024-07-31 12:00:00,999030010,-300000,-200000,1
2024-07-31 12:00:00,999030011,-400000,0,1
2024-07-31 12:00:00,999030012,2800000,2900000,1
2024-07-31 12:00:00,999030013,2500000,2600000,1
2024-07-31 12:00:00,999030024,0,-100000,2
2024-07-31 13:00:00,380010016,-600000,700000,1
2024-07-31 13:00:00,380010017,1000000,-2500000,2
2024-08-01 10:15:00,724500001,53400000,51000000,2
2024-08-01 10:45:00,380500001,46400000,47400000,1
2024-08-01 10:50:00,250500001,44100000,44000000,2
2024-08-01 10:55:00,276500001,42600000,43200000,1
2024-08-01 11:00:00,999500001,45600000,45800000,1
2024-08-01 12:00:00,999030020,6400000,6500000,2
2024-08-02 09:45:00,250010009,-1400000,800000,1
2024-08-02 10:00:00,724050001,6245000,-10830000,1
2024-08-02 11:00:00,380010005,700000,500000,2
2024-08-02 11:00:00,380010006,-2400000,-2600000,2
2024-08-02 12:00:00,380010014,100000,-200000,2
2024-08-02 12:00:00,380010015,0,-1000000,2
2024-08-05 10:15:00,724500002,55300000,53900000,2
2024-08-05 10:45:00,380500002,52500000,51700000,2
2024-08-05 10:50:00,250500002,50700000,50100000,2
2024-08-05 10:50:00,250500003,49500000,49100000,2
2024-08-05 10:55:00,276500002,52000000,52500000,1
2024-08-05 10:55:00,276500003,48700000,52500000,1
2024-08-05 11:00:00,999500003,50100000,50200000,1
2024-08-05 11:30:00,999060001,-34300000,-139000000,2
2024-08-05 12:00:00,999030005,-500000,500000,1
2024-08-05 12:00:00,999030006,-3800000,-3200000,1
2024-08-06 09:00:00,276010018,400000,3900000,1
2024-08-06 09:00:00,276010019,-2800000,-11800000,2
2024-08-06 09:45:00,250010012,200000,0,2
2024-08-06 12:00:00,999030003,0,-300000,2
2024-08-06 12:00:00,999030004,0,-300000,2
2024-08-07 09:00:00,276010010,-400000,1400000,1
2024-08-07 09:00:00,276010011,-5500000,-4100000,1
2024-08-07 09:00:00,276010001,2300000,-3400000,2
2024-08-07 09:00:00,276010002,-3200000,300000,2
2024-08-07 09:00:00,276010007,23900000,20400000,2
2024-08-07 09:00:00,276010025,35300000,22200000,2
2024-08-07 09:45:00,250050003,-8550000,-6088000,1
2024-08-09 08:30:00,250010014,7100000,7300000,2
2024-08-09 11:00:00,380010001,500000,400000,2
2024-08-09 11:00:00,380010003,-800000,-900000,2
2024-08-09 11:00:00,380010004,1700000,1600000,2
2024-08-09 11:00:00,380010025,100000,400000,1
2024-08-09 11:00:00,380010026,2300000,1100000,2
2024-08-09 12:00:00,380010007,5140000,5065000,2
2024-08-12 09:00:00,276010012,-100000,300000,1
2024-08-12 09:00:00,276010013,-1400000,-100000,1
2024-08-12 15:30:00,276010024,26300000,23200000,2
2024-08-13 12:05:00,276070001,32100000,19200000,2
2024-08-13 12:05:00,276070002,-62900000,-77300000,2
2024-08-13 12:05:00,999050001,41100000,17900000,2
2024-08-14 09:45:00,250010001,100000,200000,1
2024-08-14 09:45:00,250010003,100000,200000,1
2024-08-14 09:45:00,250010004,2600000,2700000,1
2024-08-14 12:00:00,999030002,1000000,800000,2
2024-08-14 12:00:00,999030007,0,-100000,2
2024-08-14 12:00:00,999030008,-3700000,-3900000,2
2024-08-16 12:00:00,999030018,16800000,17500000,1
2024-08-16 12:00:00,999030019,18300000,22300000,1
2024-08-19 11:00:00,724070001,-3081000,-713000,1
2024-08-20 09:00:00,276010014,100000,200000,1
2024-08-20 09:00:00,276010015,-600000,-800000,2
2024-08-20 11:00:00,999010016,36300000,50500000,1
2024-08-20 11:00:00,999010017,20500000,52400000,1
2024-08-20 12:00:00,999030014,0,1700000,1
2024-08-20 12:00:00,999030015,-900000,1000000,1
2024-08-20 12:00:00,999030021,-400000,0,1
2024-08-20 12:00:00,999030022,2100000,2500000,1
2024-08-22 10:15:00,250500001,44900000,42100000,2
2024-08-22 10:15:00,250500002,48800000,55000000,1
2024-08-22 10:15:00,250500003,48100000,52700000,1
2024-08-22 10:30:00,276500001,43800000,42100000,2
2024-08-22 10:30:00,276500002,52600000,51400000,2
2024-08-22 10:30:00,276500003,52000000,48500000,2
2024-08-22 11:00:00,999500002,51500000,53300000,1
2024-08-22 11:00:00,999500003,49800000,51200000,1
2024-08-22 17:00:00,999040006,-12500000,-13400000,2
2024-08-23 09:45:00,250010013,97000000,99000000,1
2024-08-26 10:00:00,724010008,-4100000,-1400000,1
2024-08-26 11:30:00,276030001,85100000,86800000,1
2024-08-26 11:30:00,276030002,87100000,86500000,2
2024-08-26 11:30:00,276030003,85400000,86600000,1
2024-08-27 09:00:00,276040001,-18000000,-22000000,2
2024-08-28 01:00:00,250040001,2815700000,2808400000,1
2024-08-28 09:45:00,250010007,93000000,92000000,2
2024-08-28 11:00:00,999010018,2500000,2300000,2
2024-08-28 11:00:00,999010019,400000,500000,1
2024-08-28 11:00:00,999010026,1000000,600000,2
2024-08-28 11:00:00,999010027,1000000,1300000,1
2024-08-28 11:00:00,380010012,300000,100000,2
2024-08-28 11:00:00,380010013,-4000000,-3700000,1
2024-08-29 10:00:00,724010001,-100000,0,1
2024-08-29 10:00:00,724010002,2600000,2200000,2
2024-08-29 10:00:00,724010003,-300000,0,1
2024-08-29 10:00:00,724010004,2800000,2400000,2
2024-08-29 12:00:00,999040003,-9800000,-9700000,1
2024-08-29 12:00:00,999040004,4300000,6300000,1
2024-08-29 12:00:00,999040005,95500000,96600000,1
2024-08-29 12:00:00,999040006,-13400000,-13500000,2
2024-08-29 12:00:00,999040007,12200000,11300000,2
2024-08-29 12:00:00,999040008,6500000,6100000,2
2024-08-29 12:00:00,999040002,-440000,-620000,2
2024-08-29 13:57:00,724080001,-5100000,-3600000,1
2024-08-29 15:00:00,276010020,400000,-100000,2
2024-08-29 15:00:00,276010021,2300000,1900000,2
2024-08-29 15:00:00,276010022,200000,-200000,2
2024-08-29 15:00:00,276010023,2600000,2000000,2
2024-08-30 09:00:00,276010003,600000,100000,1
2024-08-30 09:00:00,276010004,-10300000,-9500000,2
2024-08-30 09:00:00,276010005,0,100000,1
2024-08-30 09:00:00,276010006,-1600000,-1100000,1
2024-08-30 09:45:00,250010001,500000,600000,1
2024-08-30 09:45:00,250010002,2300000,1900000,2
2024-08-30 09:45:00,250010003,500000,600000,1
2024-08-30 09:45:00,250010004,2600000,2200000,2
2024-08-30 09:45:00,250010005,300000,200000,2
2024-08-30 09:45:00,250010006,1100000,1000000,2
2024-08-30 09:45:00,250010008,200000,300000,1
2024-08-30 09:45:00,250010010,-400000,200000,1
2024-08-30 10:00:00,724010009,-200000,1000000,1
2024-08-30 10:55:00,276060001,14000000,2000000,1
2024-08-30 10:55:00,276060003,2842000,2872000,2
2024-08-30 10:55:00,276060004,2813000,2801000,1
2024-08-30 11:00:00,380010022,7000000,6500000,1
2024-08-30 11:00:00,724040001,3023000,5020000,1
2024-08-30 12:00:00,380010001,300000,200000,2
2024-08-30 12:00:00,380010002,1300000,1100000,2
2024-08-30 12:00:00,380010003,-400000,-100000,1
2024-08-30 12:00:00,999030010,-200000,300000,1
2024-08-30 12:00:00,999030011,300000,200000,2
2024-08-30 12:00:00,999030012,2900000,2800000,2
2024-08-30 12:00:00,999030013,2600000,2200000,2
2024-08-30 12:00:00,999030020,6500000,6400000,1
2024-08-30 12:00:00,999030024,200000,300000,1
2024-08-30 12:00:00,999030025,2700000,2800000,1
2024-08-30 13:00:00,380010018,86500000,87100000,1
2024-08-30 13:00:00,380010019,97900000,96100000,2
2024-09-02 10:15:00,724500001,50700000,50500000,2
2024-09-02 10:45:00,380500001,48800000,49400000,1
2024-09-02 10:50:00,250500001,42100000,43900000,1
2024-09-02 10:55:00,276500001,42100000,42400000,1
2024-09-02 11:00:00,999500001,45600000,45800000,1
2024-09-02 12:00:00,380010016,0,1300000,1
2024-09-02 12:00:00,380010017,600000,-1100000,2
2024-09-03 10:00:00,724050001,27843000,21884000,1
2024-09-04 10:15:00,724500002,53900000,54600000,1
2024-09-04 10:45:00,380500002,51900000,51400000,2
2024-09-04 10:50:00,250500003,52700000,53100000,1
2024-09-04 10:55:00,276500002,51400000,51200000,2
2024-09-04 10:55:00,276500003,48500000,48400000,2
2024-09-04 11:00:00,999500002,53300000,52900000,2
2024-09-04 11:00:00,999500003,51200000,51000000,2
2024-09-04 12:00:00,999030005,300000,800000,1
2024-09-04 12:00:00,999030006,-1700000,-2100000,2
2024-09-05 09:00:00,276010018,-2300000,2900000,1
2024-09-05 09:00:00,276010019,-3400000,3700000,1
2024-09-05 12:00:00,999030003,0,100000,1
2024-09-05 12:00:00,999030004,-500000,-100000,1
